rte,rte_desc,dir,dir_desc
59,59 - Walker/Park Way,0,To Willow Creek/SW 185th Ave Transit Center
59,59 - Walker/Park Way,1,To Sunset Transit Center
61,61 - Marquam Hill/Beaverton,0,To Beaverton Transit Center
61,61 - Marquam Hill/Beaverton,1,To Marquam Hill
62,62 - Murray Blvd,0,To Washington Square Transit Center
62,62 - Murray Blvd,1,To Sunset Transit Center
63,63 - Washington Park/Arlington Hts,0,To Washington Park
63,63 - Washington Park/Arlington Hts,1,To Providence Park
64,64 - Marquam Hill/Tigard,0,To Tigard Transit Center
64,64 - Marquam Hill/Tigard,1,To Marquam Hill
65,65 - Marquam Hill/Barbur Blvd,0,To Taylors Ferry & Terwilliger
65,65 - Marquam Hill/Barbur Blvd,1,To Marquam Hill
66,66 - Marquam Hill/Hollywood,0,To Hollywood Transit Center
66,66 - Marquam Hill/Hollywood,1,To Marquam Hill
67,67 - Bethany/158th,0,To PCC Rock Creek
67,67 - Bethany/158th,1,To Merlo Rd/158th Ave
68,68 - Marquam Hill/Collins Circle,0,To Collins Circle at 18th & Jefferson
68,68 - Marquam Hill/Collins Circle,1,To PSU & Marquam Hill
70,70 - 12th/NE 33rd Ave,0,To 33rd & Sunderland
70,70 - 12th/NE 33rd Ave,1,To Milwaukie
71,71 - 60th Ave/122nd Ave,0,To Clackamas Town Center
71,71 - 60th Ave/122nd Ave,1,To Foster & 94th
72,72 - Killingsworth/82nd Ave,0,To Swan Island
72,72 - Killingsworth/82nd Ave,1,To Clackamas Town Center
75,75 - Cesar Chavez/Lombard,0,To St. Johns
75,75 - Cesar Chavez/Lombard,1,To Milwaukie
76,76 - Beaverton/Tualatin,0,To Tualatin
76,76 - Beaverton/Tualatin,1,To Beaverton Transit Center
77,77 - Broadway/Halsey,0,To Troutdale
77,77 - Broadway/Halsey,1,To Montgomery Park
78,78 - Beaverton/Lake Oswego,0,To Lake Oswego Transit Center
78,78 - Beaverton/Lake Oswego,1,To Beaverton Transit Center
79,79 - Clackamas/Oregon City,0,To Oregon City TC
79,79 - Clackamas/Oregon City,1,To Clackamas Town Center
80,80 - Kane/Troutdale Rd,0,To Troutdale
80,80 - Kane/Troutdale Rd,1,To Gresham Transit Center
81,81 - Kane/257th,0,To Troutdale
81,81 - Kane/257th,1,To Gresham Transit Center
83,83 - Washington Park Loop,0,To Providence Park
83,83 - Washington Park Loop,1,To Washington Park/Oregon Zoo
84,84 - Powell Valley/Orient Dr,0,Evening Loop
84,84 - Powell Valley/Orient Dr,1,Morning Loop
85,85 - Swan Island,0,To Swan Island
85,85 - Swan Island,1,To Rose Quarter Transit Center
87,87 - Airport Way/181st,0,To Gresham Transit Center
87,87 - Airport Way/181st,1,To Gateway Transit Center
88,88 - Hart/198th,0,To Willow Creek/SW 185th Ave Transit Center
88,88 - Hart/198th,1,To Beaverton Transit Center
92,92 - South Beaverton Express,0,To Murrayhill
92,92 - South Beaverton Express,1,To Portland City Center
93,93 - Tigard/Sherwood,0,To Sherwood
93,93 - Tigard/Sherwood,1,To Tigard Transit Center
94,94 - Pacific Hwy/Sherwood,0,To Sherwood
94,94 - Pacific Hwy/Sherwood,1,To Tigard and Portland
96,96 - Tualatin/I-5,0,To Commerce Circle
96,96 - Tualatin/I-5,1,To Portland City Center
99,99 - Macadam/McLoughlin,0,To Clackamas Community College via Sellwood
99,99 - Macadam/McLoughlin,1,To Portland City Center via Sellwood
152,152 - Milwaukie,0,To Clackamas Town Center
152,152 - Milwaukie,1,To Milwaukie
154,154 - Willamette/Clackamas Heights,0,To Willamette
154,154 - Willamette/Clackamas Heights,1,To Clackamas Heights
155,155 - Sunnyside,0,To 157th
155,155 - Sunnyside,1,To Clackamas Town Center
156,156 - Mather Rd,0,To 147th & Oregon Trail
156,156 - Mather Rd,1,To Clackamas Town Center
179,179 - Webster/Oatfield,0,To Oatfield & 82nd Dr
179,179 - Webster/Oatfield,1,To 82nd Dr & Hwy 212/224
203,WES Commuter Rail,0,To Wilsonville
203,WES Commuter Rail,1,To Beaverton
208,Portland Aerial Tram,0,To South Waterfront
208,Portland Aerial Tram,1,To Marquam Hill
291,Orange Night Bus,0,To Milwaukie
